,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
CAD,1.0,5.742647058823529,101.52941176470588,43.05147058823529,5.073529411764706,267.47794117647055,17.102941176470587,0.5764705882352941,3.389705882352941,7.720588235294117,12022.595588235294,61.41176470588235,4.044117647058823,65.08823529411764,5.124999999999999,118.55147058823528,26.92647058823529,0.6617647058823529,0.6801470588235294,3.4632352941176467,1.3308823529411764,23.985294117647054,5.352941176470588,7.772058823529411,1.2058823529411764,13.433823529411763,0.7352941176470588,13.301470588235293,0.9926470588235294,1.0955882352941175,2.75,1014.8749999999999,2.9191176470588234
HKD,0.1741357234314981,1.0,17.679897567221513,7.496798975672215,0.88348271446863,46.57746478873239,2.9782330345710633,0.1003841229193342,0.590268886043534,1.3444302176696543,2093.56338028169,10.693982074263765,0.7042253521126761,11.334186939820743,0.8924455825864277,20.64404609475032,4.688860435339309,0.11523687580025609,0.11843790012804098,0.6030729833546735,0.23175416133162613,4.176696542893726,0.9321382842509603,1.353393085787452,0.20998719590268886,2.3393085787451984,0.12804097311139565,2.3162612035851473,0.17285531370038415,0.19078104993597952,0.47887323943661975,176.72599231754162,0.5083226632522407
ISK,0.009849362688296639,0.0565614136732329,1.0,0.4240295480880648,0.04997103128621089,2.6344872537659323,0.16845307068366164,0.005677867902665121,0.0333864426419467,0.07604287369640787,118.41490440324448,0.60486674391657,0.039831981460023175,0.6410776361529548,0.050477983777520274,1.167656431054461,0.26520857473928156,0.006517960602549246,0.00669901506373117,0.03411066048667439,0.013108342989571262,0.23623986095017377,0.052723059096176125,0.07654982618771726,0.011877172653534182,0.1323146002317497,0.0072421784472769405,0.13101100811123984,0.00977694090382387,0.01079084588644264,0.02708574739281576,9.99587195828505,0.028751448435689456
PHP,0.023228010247651584,0.13339026473099916,2.3583262169086256,1.0,0.11784799316823229,6.212980358667806,0.39726729291204105,0.013390264730999147,0.07873612297181896,0.17933390264731,279.2609735269001,1.426473099914603,0.09393680614859096,1.5118701964133219,0.11904355251921435,2.7537147736976944,0.6254483347566182,0.015371477369769428,0.015798462852263023,0.08044406490179334,0.030913748932536296,0.557130657557643,0.12433817250213494,0.18052946199829206,0.028010247651579848,0.3120409906063194,0.017079419299743808,0.3089666951323655,0.023057216054654144,0.025448334756618275,0.06387702818104185,23.573526900085398,0.06780529461998293
DKK,0.19710144927536233,1.1318840579710143,20.01159420289855,8.48550724637681,1.0,52.72028985507246,3.3710144927536234,0.1136231884057971,0.6681159420289855,1.5217391304347825,2369.6710144927533,12.104347826086956,0.7971014492753623,12.828985507246376,1.0101449275362318,23.366666666666664,5.307246376811594,0.13043478260869565,0.13405797101449277,0.6826086956521739,0.26231884057971017,4.7275362318840575,1.055072463768116,1.5318840579710145,0.23768115942028983,2.6478260869565213,0.14492753623188406,2.6217391304347823,0.1956521739130435,0.21594202898550724,0.5420289855072464,200.03333333333333,0.5753623188405798
HUF,0.0037386260549248157,0.021469609918355004,0.3795805041647195,0.16095334964400582,0.018968029249250902,1.0,0.06394150149819942,0.0021552079610743053,0.012672842730296617,0.02886439233581659,44.947989114000606,0.22959562360832395,0.015119443604475357,0.24334057233966516,0.019160458531489677,0.4432196167908294,0.10066800450834318,0.002474090771641422,0.0025428155152981283,0.012947741704923441,0.004975671440745526,0.0896720455232702,0.020012645352832835,0.029056821618055367,0.004508343183879924,0.050224042664320866,0.0027489897462682467,0.04972922450999258,0.003711136157462133,0.004095994721939687,0.010281221651043242,3.794238117491822,0.010913489292684939
CZK,0.058469475494411005,0.3357695614789338,5.9363714531384355,2.5171969045571796,0.29664660361135,15.639294926913154,1.0,0.033705932932072226,0.19819432502149614,0.4514187446259673,702.9548581255374,3.5907136715391226,0.23645743766122096,3.805674978503869,0.29965606190885635,6.93164230438521,1.574376612209802,0.03869303525365434,0.03976784178847807,0.20249355116079104,0.07781599312123817,1.402407566638005,0.31298366294067065,0.45442820292347375,0.07050730868443679,0.785468615649183,0.04299226139294927,0.7777300085984522,0.058039552880481515,0.0640584694754944,0.16079105760963028,59.339208942390364,0.1706792777300086
GBP,1.7346938775510206,9.96173469387755,176.12244897959184,74.68112244897958,8.801020408163266,463.9923469387755,29.668367346938776,1.0,5.880102040816327,13.392857142857142,20855.522959183672,106.53061224489795,7.01530612244898,112.90816326530611,8.89030612244898,205.6505102040816,46.70918367346938,1.1479591836734693,1.1798469387755102,6.00765306122449,2.308673469387755,41.607142857142854,9.285714285714286,13.482142857142858,2.0918367346938775,23.303571428571427,1.2755102040816326,23.073979591836732,1.721938775510204,1.9005102040816326,4.770408163265306,1760.4974489795918,5.063775510204081
RON,0.2950108459869848,1.6941431670281994,29.952277657266812,12.700650759219087,1.4967462039045554,78.90889370932754,5.045553145336226,0.1700650759219089,1.0,2.27765726681128,3546.7960954446853,18.117136659436007,1.193058568329718,19.201735357917567,1.511930585683297,34.973969631236436,7.943600867678958,0.19522776572668113,0.20065075921908893,1.021691973969631,0.39262472885032534,7.075921908893708,1.579175704989154,2.2928416485900214,0.35574837310195223,3.9631236442516267,0.21691973969631234,3.9240780911062902,0.2928416485900217,0.3232104121475054,0.8112798264642083,299.3991323210412,0.8611713665943601
SEK,0.12952380952380954,0.7438095238095238,13.150476190476192,5.576190476190476,0.6571428571428571,34.6447619047619,2.2152380952380955,0.07466666666666667,0.4390476190476191,1.0,1557.212380952381,7.954285714285714,0.5238095238095238,8.43047619047619,0.6638095238095237,15.355238095238095,3.4876190476190474,0.08571428571428572,0.0880952380952381,0.44857142857142857,0.17238095238095238,3.1066666666666665,0.6933333333333334,1.0066666666666666,0.15619047619047619,1.74,0.09523809523809523,1.7228571428571429,0.1285714285714286,0.1419047619047619,0.3561904761904762,131.4504761904762,0.3780952380952381
